TDATE;PCODE;PNAME;REGION_CODE;TCODE;P_NC_UNREG_AVG
2011-01-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB1;114933.90484
2011-01-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB2;127116.37633
2011-01-01;ALEKSNSB;"ООО ""Алексинэнергосбыт""";70;PALEKSB1;277749.02607
2011-01-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";01;PALTENER;213081.43837
2011-01-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";84;PALTRESP;231544.7666
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK1;304177.60565
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK2;301952.69486
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK3;300152.73448
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK4;301816.29774
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK5;301844.33277
2011-01-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK6;302768.25075
2011-01-01;ASTRHENE;"ОАО ""Астраханская энергосбытовая компания""";12;PASTRHEN;275127.1468
2011-01-01;BALASHEL;"ЗАО ""Балашихинская электросеть""";46;PBALEST1;316779.33132
2011-01-01;BARNGORS;"ОАО ""Барнаульская горэлектросеть""";01;PBARELS1;223183.60336
2011-01-01;BASHKESK;"ООО ""Энергетическая сбытовая компания Башкортостана""";80;PBASHENE;272248.2826
2011-01-01;BELGOREN;"ОАО ""Белгородская сбытовая компания""";14;PBELGORE;285775.91739
2011-01-01;MPBORISO;"МУП ""Борисоглебская энергосбытовая организация""";20;PBORESB1;277644.37216
2011-01-01;BRYANENE;"ОАО ""Брянская сбытовая компания""";15;PBRYANEN;284445.15652
2011-01-01;BUDELSET;"МУП г.Буденновска ""Горэлектросеть""";07;PBUDGORS;282290.4089
2011-01-01;BURYATEN;"ОАО ""Бурятэнергоcбыт""";81;PBURYATE;165819.17514
2011-01-01;CHELENER;"ОАО ""Челябэнергосбыт""";75;PCHELENE;277051.0783
2011-01-01;CHITAENE;"ОАО ""Читинская энергосбытовая компания""";76200;PCHITAEN;348488.78932
2011-01-01;CHUVENER;"ОАО ""Чувашская энергосбытовая компания""";97;PCHUVENE;307470.69345
2011-01-01;DAGESBYT;"ОАО ""Дагестанская энергосбытовая компания""";82;PDAGENER;181816.4698
2011-01-01;EKATSBKO;"ОАО ""Екатеринбургэнергосбыт""";65;PEKELSK1;278614.82783
2011-01-01;ELSETMYT;"ОАО ""Электросеть"" (г.Мытищи)";46;PELSETMT;315147.64815
2011-01-01;EKOMFORT;"ООО ""Энергокомфорт"". Карелия""";86;PENKOMF1;356210.76784
2011-01-01;OAO470ES;"ОАО ""470 Электрическая сеть""";41;PESVMF01;352952.11405
2011-01-01;OAO470ES;"ОАО ""470 Электрическая сеть""";41;PESVMF02;352355.32721
2011-01-01;GORELKIS;"ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)";07;PGELESKS;284610.41202
2011-01-01;NEVNGORS;"ОАО ""Горэлектросеть"" г.Невинномысск";07;PGELSNV1;278610.15507
2011-01-01;NEVNGORS;"ОАО ""Горэлектросеть"" г.Невинномысск";07;PGELSNV2;283160.38388
2011-01-01;HANTGORS;"МП ""Городские электрические сети"" (г.Ханты-Мансийск)";71;PGORESHM;284594.59355
2011-01-01;HAKASENE;"ОАО ""Хакасэнергосбыт""";95;PHAKASEN;127123.30777
2011-01-01;INGUSHEN;"ОАО ""Ингушэнерго""";26;PINGUSHE;134816.10225
2011-01-01;IRKUTSBT;"ООО ""Иркутская Энергосбытовая компания""";25;PIRKUTEN;166082.67105
2011-01-01;IVELSETI;"МУП ""Ивантеевские Электросети""";46;PIVANTES;322572.4018
2011-01-01;IVENERGO;"ОАО ""Ивановская энергосбытовая компания""";24;PIVENERG;278697.75537
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS10;277977.18387
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS11;282687.68833
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS12;291308.9823
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS13;274866.68951
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS14;275995.64866
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS15;273609.90616
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS16;288205.94855
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS17;274198.27344
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS18;275916.27751
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS19;342629.15222
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS20;279601.47206
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK1;277223.02917
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK2;276253.85282
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK3;276929.38157
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK4;620564.95082
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK5;279657.49262
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK6;273136.12708
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK7;277523.39651
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK8;277779.59108
2011-01-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK9;275842.05939
2011-01-01;KABBAGEN;"ОАО ""Каббалкэнерго""";83;PKABBAGE;159795.9286
2011-01-01;KALMENER;"ОАО ""Калмэнергосбыт""";85;PKALMENE;279165.15976
2011-01-01;KALUGENE;"ОАО ""Калужская сбытовая компания""";29;PKALUGEN;277901.23811
2011-01-01;KARELENE;"ОАО ""Карельская энергосбытовая компания""";86;PKARELEN;357425.40165
2011-01-01;KCHERKEN;"ОАО ""Карачаево-Черкесскэнерго""";91;PKCHERKE;165434.5252
2011-01-01;KIROVENE;"ОАО ""Кировэнергосбыт""";33;PKIROVEN;270412.1114
