"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"1",2011-01-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB1","95","FZSBHT29",528.42909002274,114933.904837926
"2",2011-01-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB2","95","FZSBHT29",526.875495512549,127116.376332727
"3",2011-01-01,"ООО ""Алексинэнергосбыт""","ALEKSNSB","PALEKSB1","70","FZZNOE24",973.826654784429,277749.026071547
"4",2011-01-01,"ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTENER","01","FZSBOE01",680.605502053274,213081.43837405
"5",2011-01-01,"ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTRESP","84","FZSBBB06",1094.10019998442,231544.7666
"6",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK1","47","FZSZKO28",745.916046739821,304177.605650168
"7",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK2","47","FZSZKO28",837.756968531052,301952.694855134
"8",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK3","47","FZSZKO28",841.808791161266,300152.734482967
"9",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK4","47","FZSZKO28",839.639143244678,301816.297740901
"10",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK5","47","FZSZKO28",840.480672750972,301844.332767367
"11",2011-01-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK6","47","FZSZKO28",841.857928915477,302768.250749997
"12",2011-01-01,"ОАО ""Астраханская энергосбытовая компания""","ASTRHENE","PASTRHEN","12","FZYUAS18",1024.63357656261,275127.14680488
"13",2011-01-01,"ЗАО ""Балашихинская электросеть""","BALASHEL","PBALEST1","46","FZZMSK26",936.858185913922,316779.331316008
"14",2011-01-01,"ОАО ""Барнаульская горэлектросеть""","BARNGORS","PBARELS1","01","FZSBBB06",599.503652353571,223183.603364041
"15",2011-01-01,"ООО ""Энергетическая сбытовая компания Башкортостана""","BASHKESK","PBASHENE","80","FZUROE07",918.317056199311,272248.2826
"16",2011-01-01,"ОАО ""Белгородская сбытовая компания""","BELGOREN","PBELGORE","14","FZZNOE24",947.861147822242,285775.917386733
"17",2011-01-01,"МУП ""Борисоглебская энергосбытовая организация""","MPBORISO","PBORESB1","20","FZZNOE24",996.598157005531,277644.372162027
"18",2011-01-01,"ОАО ""Брянская сбытовая компания""","BRYANENE","PBRYANEN","15","FZZNOE24",956.904646632223,284445.156519436
"19",2011-01-01,"МУП г.Буденновска ""Горэлектросеть""","BUDELSET","PBUDGORS","07","FZYUOE16",1158.08886893447,282290.408900695
