"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"1",2016-12-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB1","95","Республика Хакасия","FZSBOE01",900.12,487706.8
"2",2016-12-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB2","95","Республика Хакасия","FZSBOE01",899.66,485303.99
"3",2016-12-01,"ООО ""Алексинэнергосбыт""","ALEKSNSB","PALEKSB1","70","Тульская область","FZZNOE24",1258.09,417908.88
"4",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN1","01","Алтайский край","FZSBBB06",928.55,587083.37
"5",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN2","01","Алтайский край","FZSBBB06",938.6,582735.41
"6",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN3","01","Алтайский край","FZSBBB06",923.48,593071.25
"7",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN4","01","Алтайский край","FZSBBB06",1062.93,592981.22
"8",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN5","01","Алтайский край","FZSBBB06",957.55,592757.17
"9",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN6","01","Алтайский край","FZSBBB06",884.28,592325.36
"10",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN7","01","Алтайский край","FZSBBB06",1014.65,595629.18
"11",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN8","01","Алтайский край","FZSBBB06",882.94,592564.45
"12",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN9","01","Алтайский край","FZSBBB06",1007.23,593004.32
"13",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE10","01","Алтайский край","FZSBBB06",1047.34,594310.44
"14",2016-12-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE11","01","Алтайский край","FZSBBB06",1008.34,593442.61
