"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG"
"1",2690,1,"2011-01-01 00:00:00.0","ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB1","95",114933.904837926
"2",2690,1,"2011-01-01 00:00:00.0","ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB2","95",127116.376332727
"3",2690,1,"2011-01-01 00:00:00.0","ООО ""Алексинэнергосбыт""","ALEKSNSB","PALEKSB1","70",277749.026071547
"4",2690,1,"2011-01-01 00:00:00.0","ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTENER","01",213081.43837405
"5",2690,1,"2011-01-01 00:00:00.0","ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTRESP","84",231544.7666
"6",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK1","47",304177.605650168
"7",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK2","47",301952.694855134
"8",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK3","47",300152.734482967
"9",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK4","47",301816.297740901
"10",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK5","47",301844.332767367
"11",2690,1,"2011-01-01 00:00:00.0","ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK6","47",302768.250749997
"12",2690,1,"2011-01-01 00:00:00.0","ОАО ""Астраханская энергосбытовая компания""","ASTRHENE","PASTRHEN","12",275127.14680488
"13",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Балашихинская электросеть""","BALASHEL","PBALEST1","46",316779.331316008
"14",2690,1,"2011-01-01 00:00:00.0","ОАО ""Барнаульская горэлектросеть""","BARNGORS","PBARELS1","01",223183.603364041
"15",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергетическая сбытовая компания Башкортостана""","BASHKESK","PBASHENE","80",272248.2826
"16",2690,1,"2011-01-01 00:00:00.0","ОАО ""Белгородская сбытовая компания""","BELGOREN","PBELGORE","14",285775.917386733
"17",2690,1,"2011-01-01 00:00:00.0","МУП ""Борисоглебская энергосбытовая организация""","MPBORISO","PBORESB1","20",277644.372162027
"18",2690,1,"2011-01-01 00:00:00.0","ОАО ""Брянская сбытовая компания""","BRYANENE","PBRYANEN","15",284445.156519436
"19",2690,1,"2011-01-01 00:00:00.0","МУП г.Буденновска ""Горэлектросеть""","BUDELSET","PBUDGORS","07",282290.408900695
"20",2690,1,"2011-01-01 00:00:00.0","ОАО ""Бурятэнергоcбыт""","BURYATEN","PBURYATE","81",165819.175138606
"21",2690,1,"2011-01-01 00:00:00.0","ОАО ""Челябэнергосбыт""","CHELENER","PCHELENE","75",277051.078297749
"22",2690,1,"2011-01-01 00:00:00.0","ОАО ""Читинская энергосбытовая компания""","CHITAENE","PCHITAEN","76200",348488.78931953
"23",2690,1,"2011-01-01 00:00:00.0","ОАО ""Чувашская энергосбытовая компания""","CHUVENER","PCHUVENE","97",307470.693454857
"24",2690,1,"2011-01-01 00:00:00.0","ОАО ""Дагестанская энергосбытовая компания""","DAGESBYT","PDAGENER","82",181816.4698
"25",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA1","60",279532.554039041
"26",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA2","60",278298.604935504
"27",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA3","60",278411.364129247
"28",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA4","60",278738.552895009
"29",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA5","60",279976.267736103
"30",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA6","60",279918.653543149
"31",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA7","60",280569.164235813
"32",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA8","60",277627.152318084
"33",2690,1,"2011-01-01 00:00:00.0","ООО ""Донэнергосбыт""","DONENATS","PDONENA9","60",277374.120550221
"34",2690,1,"2011-01-01 00:00:00.0","ОАО ""Ессентукские городские электрические сети""","ESSENTUK","PEGORELS","07",280730.830109022
"35",2690,1,"2011-01-01 00:00:00.0","ОАО ""Екатеринбургэнергосбыт""","EKATSBKO","PEKELSK1","65",278614.827825778
"36",2690,1,"2011-01-01 00:00:00.0","ОАО ""Электросеть"" (г.Мытищи)","ELSETMYT","PELSETMT","46",315147.648148079
"37",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOLD1","41",352980.563891188
"38",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOLD3","41",358310.399572381
